id;data;cidade_origem;uf_origem;base_origem;nf;valor_da_nota;volumes;peso_real;peso_cubado;cidade_destino;uf_destino;base;setor;frete_peso;seguro;total_frete
19420;2024-12-01;CURITIBA;PR;CWB;1414;2282,6;33;130,05;130,05;SOLEDADE;RS;RGS;SLD;302,99;6,85;309,84
19421;2024-12-01;CURITIBA;PR;CWB;1415;4916,08;49;166,54;166,54;"RIBEIRAO PRETO";SP;SPO;DVT;226,07;14,75;240,82
19422;2024-12-01;CURITIBA;PR;CWB;1416;3551,08;40;172,84;172,84;JAU;SP;SPO;DVT;232,37;10,65;243,03
19423;2024-12-01;"SAO PAULO";SP;SAO;1020;5359,52;70;208,25;208,25;LIMEIRA;SP;SPO;DOC;267,78;16,08;283,85
19424;2024-12-01;"SAO PAULO";SP;SAO;1020;3121,64;43;141,74;141,74;"SAO JOSE DO RIO PRETO";SP;SPO;DVT;201,27;9,36;210,63
19425;2024-12-01;"SAO PAULO";SP;SAO;1020;4606.0;59;183,07;183,07;"RIO CLARO";SP;SPO;DOC;242,6;13,82;256,42
19426;2024-12-01;"SAO PAULO";SP;SAO;1020;4268,04;52;187,92;187,92;ARACATUBA;SP;SPO;DVT;247,45;12,8;260,25
19427;2024-12-01;"SAO PAULO";SP;SAO;1020;4583,36;44;194.0;194.0;PIRACAIA;SP;SPO;DOC;253,53;13,75;267,28
19428;2024-12-01;"SAO PAULO";SP;SAO;1020;3222,18;46;155,96;155,96;BLUMENAU;SC;BNU;BRU;249,79;9,67;259,46
19429;2024-12-01;"SAO PAULO";SP;SAO;1020;1814,96;24;162,5;162,5;VOTUPORANGA;SP;SPO;DVT;222,03;5,44;227,48
19430;2024-12-01;"SAO PAULO";SP;SAO;1020;3830,87;54;223,56;223,56;"PORTO ALEGRE";RS;POA;URB;410,37;11,49;421,86
19431;2024-12-01;"SAO PAULO";SP;SAO;1020;9898,24;148;408,42;408,42;"SAO JOSE DOS CAMPOS";SP;SPO;DOC;467,95;29,69;497,65
19432;2024-12-01;"SAO PAULO";SP;SAO;1020;1099,81;52;171,18;171,18;"PORTO FELIZ";SP;SPO;DVT;230,71;3,3;234,01
19433;2024-12-01;"SAO PAULO";SP;SAO;1020;4262,14;58;248,78;248,78;JOACABA;SC;CTB;401;379,74;12,79;392,53
19434;2024-12-01;"SAO PAULO";SP;SAO;1020;2566,79;53;190,6;190,6;"SANTA CRUZ DO SUL";RS;RGS;LJD;422,88;7,7;430,58
19435;2024-12-01;"SAO PAULO";SP;SAO;1020;7947,16;96;274,79;274,79;CAMPINAS;SP;SPO;DOC;334,32;23,84;358,16
19436;2024-12-01;"SAO PAULO";SP;SAO;1020;5884,92;81;218,44;218,44;"SANTA BARBARA D'OESTE";SP;SPO;DOC;277,97;17,65;295,63
19437;2024-12-01;"SAO PAULO";SP;SAO;1020;3287,8;48;202,78;202,78;BAGE;RS;RGS;PET;446,99;9,86;456,85
19438;2024-12-01;"SAO PAULO";SP;SAO;1020;3853,9;56;258,88;258,88;VOTUPORANGA;SP;SPO;DVT;318,41;11,56;329,97
19439;2024-12-01;"SAO PAULO";SP;SAO;1020;8445,34;121;412,39;412,39;CURITIBA;PR;CWB;URB;401,25;25,34;426,58
19440;2024-12-01;"SAO PAULO";SP;SAO;1020;4223,08;70;253,75;253,75;"CRISTAIS PAULISTA";SP;SPO;DVT;313,28;12,67;325,95
